Day,Date High,High,Date Low, Low , Closing , No. of Trades , No. of Shares , Turnover ,Last Traded,Days Traded
9/27/2010,27-Sep-10,545,27-Sep-10,501,523.2,275,185400.00,97437970.00,27-Sep-10,1
9/28/2010,28-Sep-10,522.3,28-Sep-10,511,515.6,121,127100.00,65309720.00,28-Sep-10,1
9/29/2010,29-Sep-10,519.5,29-Sep-10,515,517.8,125,135100.00,69994450.00,29-Sep-10,1
9/30/2010,30-Sep-10,522,30-Sep-10,512,514,95,35400.00,18282900.00,30-Sep-10,1
10/1/2010,1-Oct-10,531,1-Oct-10,514.1,530,143,295800.00,156193350.00,1-Oct-10,1
10/4/2010,4-Oct-10,535,4-Oct-10,528,531.4,184,142500.00,75812700.00,4-Oct-10,1
10/5/2010,5-Oct-10,531,5-Oct-10,520.1,529.2,193,146900.00,77582390.00,5-Oct-10,1
10/6/2010,6-Oct-10,530,6-Oct-10,520,521.5,164,133200.00,69771170.00,6-Oct-10,1
10/12/2010,12-Oct-10,261,12-Oct-10,241.5,243.1,401,704540.00,173956010.00,12-Oct-10,1
10/13/2010,13-Oct-10,249,13-Oct-10,215,243.1,458,391900.00,92413390.00,13-Oct-10,1
10/14/2010,14-Oct-10,252,14-Oct-10,245.1,248,382,958700.00,238063830.00,14-Oct-10,1
10/15/2010,15-Oct-10,250,15-Oct-10,245,249.5,121,128000.00,31542770.00,15-Oct-10,1
10/18/2010,18-Oct-10,254,18-Oct-10,247.5,251.9,170,574400.00,143746490.00,18-Oct-10,1
10/19/2010,19-Oct-10,275,19-Oct-10,252.5,271,585,424000.00,111278470.00,19-Oct-10,1
10/20/2010,20-Oct-10,284.9,20-Oct-10,270.5,273.6,430,465800.00,127900640.00,20-Oct-10,1
10/21/2010,21-Oct-10,295,21-Oct-10,275,291.9,560,639632.00,176459820.00,21-Oct-10,1
10/25/2010,25-Oct-10,302.9,25-Oct-10,294,295.1,684,2223224.00,658835992.00,25-Oct-10,1
10/26/2010,26-Oct-10,306,26-Oct-10,290,290.9,539,339900.00,101356350.00,26-Oct-10,1
10/27/2010,27-Oct-10,290,27-Oct-10,280,288.2,181,86200.00,24779270.00,27-Oct-10,1
10/28/2010,28-Oct-10,289.9,28-Oct-10,283,283.4,144,81000.00,23022270.00,28-Oct-10,1
10/29/2010,29-Oct-10,287.9,29-Oct-10,284,284.9,219,239200.00,68206340.00,29-Oct-10,1
11/1/2010,1-Nov-10,288,1-Nov-10,280,280.2,189,654100.00,183451060.00,1-Nov-10,1
11/2/2010,2-Nov-10,284,2-Nov-10,280,282,91,122100.00,34323740.00,2-Nov-10,1
11/3/2010,3-Nov-10,282,3-Nov-10,275,279.9,103,67700.00,18908580.00,3-Nov-10,1
11/4/2010,4-Nov-10,279,4-Nov-10,276,277.1,67,48000.00,13300570.00,4-Nov-10,1
11/8/2010,8-Nov-10,280,8-Nov-10,272,272.3,71,77000.00,21157810.00,8-Nov-10,1
11/9/2010,9-Nov-10,273,9-Nov-10,268.5,269.1,128,246100.00,66525380.00,9-Nov-10,1
11/10/2010,10-Nov-10,269.1,10-Nov-10,262.5,264,97,31000.00,8208890.00,10-Nov-10,1
11/11/2010,11-Nov-10,275,11-Nov-10,264,271.4,79,53500.00,14427280.00,11-Nov-10,1
11/12/2010,12-Nov-10,276.9,12-Nov-10,272.9,274,126,110600.00,30337180.00,12-Nov-10,1
11/15/2010,15-Nov-10,273,15-Nov-10,263,265.1,86,39400.00,10547680.00,15-Nov-10,1
11/16/2010,16-Nov-10,265.2,16-Nov-10,262,265,64,76000.00,20132480.00,16-Nov-10,1
11/18/2010,18-Nov-10,274,18-Nov-10,264,270.2,167,1115100.00,296971860.00,18-Nov-10,1
11/22/2010,22-Nov-10,273.5,22-Nov-10,264,266.3,189,180500.00,48112630.00,22-Nov-10,1
11/23/2010,23-Nov-10,271,23-Nov-10,265,265.7,190,614100.00,164436940.00,23-Nov-10,1
11/24/2010,24-Nov-10,268.1,24-Nov-10,265,265.9,76,250900.00,66572610.00,24-Nov-10,1
11/25/2010,25-Nov-10,266,25-Nov-10,262,262.1,48,72000.00,19046990.00,25-Nov-10,1
11/26/2010,26-Nov-10,263,26-Nov-10,258,260.6,98,206800.00,54050790.00,26-Nov-10,1
11/29/2010,29-Nov-10,260,29-Nov-10,247,248.9,246,246100.00,61539410.00,29-Nov-10,1
11/30/2010,30-Nov-10,265,30-Nov-10,258.1,260.8,297,312000.00,81425180.00,30-Nov-10,1
12/1/2010,1-Dec-10,270,1-Dec-10,260,261.2,229,260700.00,68275770.00,1-Dec-10,1
12/2/2010,2-Dec-10,266,2-Dec-10,259,259.8,102,210000.00,54646340.00,2-Dec-10,1
12/3/2010,3-Dec-10,268,3-Dec-10,259.1,261.7,64,71500.00,18620090.00,3-Dec-10,1
12/6/2010,6-Dec-10,265,6-Dec-10,258,258.1,62,51900.00,13403930.00,6-Dec-10,1
12/7/2010,7-Dec-10,258.9,7-Dec-10,255,257.5,40,115300.00,29418310.00,7-Dec-10,1
12/8/2010,8-Dec-10,257,8-Dec-10,254,255.1,56,23600.00,6022710.00,8-Dec-10,1
12/9/2010,9-Dec-10,257,9-Dec-10,253.7,254,69,367700.00,92212810.00,9-Dec-10,1
12/10/2010,10-Dec-10,262,10-Dec-10,254,254.8,102,365800.00,93355130.00,10-Dec-10,1
12/13/2010,13-Dec-10,265,13-Dec-10,255,260.9,225,,,13-Dec-10,1
12/14/2010,14-Dec-10,262,14-Dec-10,255,256.4,75,1558500.00,411553530.00,14-Dec-10,1
12/15/2010,15-Dec-10,257,15-Dec-10,254,255.5,42,242500.00,61847360.00,15-Dec-10,1
12/16/2010,16-Dec-10,257,16-Dec-10,255,255.3,40,34800.00,8908190.00,16-Dec-10,1
12/17/2010,17-Dec-10,257,17-Dec-10,254.5,255.2,55,91700.00,23394560.00,17-Dec-10,1
12/21/2010,21-Dec-10,261,21-Dec-10,257.1,259.7,74,70000.00,18171390.00,21-Dec-10,1
12/22/2010,22-Dec-10,266,22-Dec-10,259.8,263.8,98,60400.00,15847890.00,22-Dec-10,1
12/23/2010,23-Dec-10,269,23-Dec-10,265,266.9,128,68600.00,18321970.00,23-Dec-10,1
12/24/2010,24-Dec-10,268.5,24-Dec-10,267.1,267.8,58,48200.00,12923660.00,24-Dec-10,1
12/27/2010,27-Dec-10,272.5,27-Dec-10,267,270.8,82,60800.00,16367340.00,27-Dec-10,1
12/28/2010,28-Dec-10,274.4,28-Dec-10,272,272.4,82,78100.00,21296230.00,28-Dec-10,1
12/29/2010,29-Dec-10,272.5,29-Dec-10,270,270.7,66,132800.00,34783330.00,29-Dec-10,1
12/30/2010,30-Dec-10,273,30-Dec-10,260,269.9,101,120400.00,32550540.00,30-Dec-10,1
12/31/2010,31-Dec-10,274,31-Dec-10,270,271.9,72,62800.00,17058300.00,31-Dec-10,1
,,,,,,,,,,
1/3/2011,3-Jan-11,273.5,3-Jan-11,270.5,271.8,56,38300.00,10412610.00,3-Jan-11,1
1/4/2011,4-Jan-11,280.5,4-Jan-11,270,279.7,116,252700.00,70386400.00,4-Jan-11,1
1/5/2011,5-Jan-11,290,5-Jan-11,280,287.1,147,120200.00,34449760.00,5-Jan-11,1
1/6/2011,6-Jan-11,288,6-Jan-11,280,282.8,81,50300.00,14333390.00,6-Jan-11,1
1/7/2011,7-Jan-11,295,7-Jan-11,283,290.8,211,382500.00,110835760.00,7-Jan-11,1
1/10/2011,10-Jan-11,300,10-Jan-11,292,294.8,169,1366300.00,408515760.00,10-Jan-11,1
1/11/2011,11-Jan-11,299,11-Jan-11,295.1,296.1,130,90900.00,26966680.00,11-Jan-11,1
1/12/2011,12-Jan-11,299,12-Jan-11,295,295.5,105,195900.00,58170410.00,12-Jan-11,1
1/13/2011,13-Jan-11,296,13-Jan-11,285.5,293.7,92,53900.00,15756550.00,13-Jan-11,1
1/14/2011,14-Jan-11,293,14-Jan-11,290,291.7,44,24600.00,7169550.00,14-Jan-11,1
1/17/2011,17-Jan-11,295,17-Jan-11,286,288.7,87,74800.00,21793980.00,17-Jan-11,1
1/18/2011,18-Jan-11,292.1,18-Jan-11,289,290.1,96,163500.00,47453420.00,18-Jan-11,1
1/20/2011,20-Jan-11,295,20-Jan-11,290.1,294.8,109,438300.00,127490090.00,20-Jan-11,1
1/21/2011,21-Jan-11,295,21-Jan-11,292,292.7,74,41600.00,12226690.00,21-Jan-11,1
1/24/2011,24-Jan-11,296,24-Jan-11,292.5,294.1,81,78500.00,23119410.00,24-Jan-11,1
1/25/2011,25-Jan-11,295,25-Jan-11,290,291.2,73,48200.00,14073570.00,25-Jan-11,1
1/26/2011,26-Jan-11,301.9,26-Jan-11,290,299.9,356,2157400.00,645935280.00,26-Jan-11,1
1/27/2011,27-Jan-11,304.5,27-Jan-11,299,302.4,238,1510900.00,455517580.00,27-Jan-11,1
1/28/2011,28-Jan-11,307,28-Jan-11,298,300.3,170,166800.00,50419230.00,28-Jan-11,1
1/31/2011,31-Jan-11,303,31-Jan-11,295,295.4,111,135800.00,40508980.00,31-Jan-11,1
2/1/2011,1-Feb-11,299.9,1-Feb-11,295,298,59,51100.00,15225630.00,1-Feb-11,1
2/2/2011,2-Feb-11,299,2-Feb-11,294,295.3,88,251400.00,75118330.00,2-Feb-11,1
2/3/2011,3-Feb-11,299,3-Feb-11,291,295.7,67,41100.00,12209230.00,3-Feb-11,1
2/7/2011,7-Feb-11,298.5,7-Feb-11,295,295.5,59,55400.00,16415800.00,7-Feb-11,1
2/8/2011,8-Feb-11,297,8-Feb-11,296,296.3,51,33900.00,10039820.00,8-Feb-11,1
2/9/2011,9-Feb-11,297,9-Feb-11,290,291.4,111,180600.00,53041270.00,9-Feb-11,1
2/10/2011,10-Feb-11,295.5,10-Feb-11,289,295,82,309500.00,89889020.00,10-Feb-11,1
2/11/2011,11-Feb-11,299.5,11-Feb-11,292.1,293.9,122,109300.00,32295620.00,11-Feb-11,1
2/14/2011,14-Feb-11,299.9,14-Feb-11,294,294.4,91,54200.00,15995010.00,14-Feb-11,1
2/15/2011,15-Feb-11,295,15-Feb-11,292,292.8,91,140400.00,41090350.00,15-Feb-11,1
2/18/2011,18-Feb-11,295,18-Feb-11,292,292.9,53,65100.00,19029000.00,18-Feb-11,1
2/21/2011,21-Feb-11,295,21-Feb-11,292.6,294.7,67,52200.00,15342550.00,21-Feb-11,1
2/22/2011,22-Feb-11,293.1,22-Feb-11,290,291.1,68,414100.00,121063760.00,22-Feb-11,1
2/23/2011,23-Feb-11,291,23-Feb-11,288,289.5,99,129600.00,37414650.00,23-Feb-11,1
2/24/2011,24-Feb-11,290,24-Feb-11,288,289.3,74,618700.00,178233000.00,24-Feb-11,1
2/25/2011,25-Feb-11,295,25-Feb-11,288,291.6,78,597300.00,175814510.00,25-Feb-11,1
2/28/2011,28-Feb-11,293,28-Feb-11,291.6,291.8,47,25100.00,7323170.00,28-Feb-11,1
3/1/2011,1-Mar-11,290.5,1-Mar-11,288,288,76,469400.00,136012990.00,1-Mar-11,1
3/3/2011,3-Mar-11,290,3-Mar-11,285,287.9,100,440000.00,127130600.00,3-Mar-11,1
3/4/2011,4-Mar-11,287,4-Mar-11,283.1,284.1,75,251900.00,71748890.00,4-Mar-11,1
3/7/2011,7-Mar-11,284,7-Mar-11,281,282,44,209600.00,59111270.00,7-Mar-11,1
3/8/2011,8-Mar-11,282.1,8-Mar-11,275,278,80,111000.00,30870390.00,8-Mar-11,1
3/9/2011,9-Mar-11,280,9-Mar-11,275,275.5,71,65200.00,17993300.00,9-Mar-11,1
3/10/2011,10-Mar-11,282,10-Mar-11,273,279.7,32,21500.00,5971640.00,10-Mar-11,1
3/11/2011,11-Mar-11,278.4,11-Mar-11,275,275.9,39,36700.00,10100010.00,11-Mar-11,1
3/14/2011,14-Mar-11,276.6,14-Mar-11,269.1,270.6,97,51300.00,13979600.00,14-Mar-11,1
3/15/2011,15-Mar-11,274,15-Mar-11,269,269.4,78,93200.00,25168620.00,15-Mar-11,1
3/16/2011,16-Mar-11,274.5,16-Mar-11,269.2,270,69,76200.00,20578470.00,16-Mar-11,1
3/17/2011,17-Mar-11,274,17-Mar-11,269,269.4,89,112700.00,30480930.00,17-Mar-11,1
3/18/2011,18-Mar-11,272,18-Mar-11,268,269,52,44100.00,11870640.00,18-Mar-11,1
3/21/2011,21-Mar-11,271,21-Mar-11,265,265.8,119,212000.00,56703880.00,21-Mar-11,1
3/22/2011,22-Mar-11,275,22-Mar-11,265,270.9,50,52700.00,14221710.00,22-Mar-11,1
3/23/2011,23-Mar-11,276,23-Mar-11,270,272.2,70,81800.00,22395010.00,23-Mar-11,1
3/24/2011,24-Mar-11,277,24-Mar-11,272.1,275.1,31,19900.00,5469890.00,24-Mar-11,1
3/25/2011,25-Mar-11,285,25-Mar-11,274.6,283.3,102,191200.00,52852440.00,25-Mar-11,1
3/28/2011,28-Mar-11,289.8,28-Mar-11,282.1,285.3,56,311828.00,88842360.00,28-Mar-11,1
3/29/2011,29-Mar-11,290,29-Mar-11,286.2,286.8,85,58900.00,17043790.00,29-Mar-11,1
3/30/2011,30-Mar-11,287,30-Mar-11,284,286.2,31,13100.00,3740680.00,30-Mar-11,1
3/31/2011,31-Mar-11,292,31-Mar-11,285.2,288.3,130,2370700.00,687447300.00,31-Mar-11,1
4/1/2011,1-Apr-11,291,1-Apr-11,285.5,289.2,90,67700.00,19579180.00,1-Apr-11,1
4/4/2011,4-Apr-11,298,4-Apr-11,288.1,291.5,63,54900.00,16112980.00,4-Apr-11,1
4/5/2011,5-Apr-11,292,5-Apr-11,285.1,288,29,37900.00,10992490.00,5-Apr-11,1
4/6/2011,6-Apr-11,289.9,6-Apr-11,287,287.2,43,123200.00,35447060.00,6-Apr-11,1
4/7/2011,7-Apr-11,289,7-Apr-11,287,287.2,26,15300.00,4395250.00,7-Apr-11,1
4/8/2011,8-Apr-11,290,8-Apr-11,287.8,288.2,49,37800.00,10927600.00,8-Apr-11,1
4/11/2011,11-Apr-11,290,11-Apr-11,288.2,289.9,27,9500.00,2751780.00,11-Apr-11,1
4/12/2011,12-Apr-11,291,12-Apr-11,289.5,290,83,80000.00,23198100.00,12-Apr-11,1
4/18/2011,18-Apr-11,290,18-Apr-11,287,288.8,30,19400.00,5611490.00,18-Apr-11,1
4/19/2011,19-Apr-11,292,19-Apr-11,287.1,288.9,31,14000.00,4042030.00,19-Apr-11,1
4/20/2011,20-Apr-11,289,20-Apr-11,285,285,45,71200.00,20474870.00,20-Apr-11,1
4/21/2011,21-Apr-11,285.1,21-Apr-11,285,285,30,16500.00,4703360.00,21-Apr-11,1
4/25/2011,25-Apr-11,284,25-Apr-11,278.2,280.4,53,22700.00,6386110.00,25-Apr-11,1
4/26/2011,26-Apr-11,280.4,26-Apr-11,276.1,280.1,42,20900.00,5815950.00,26-Apr-11,1
4/27/2011,27-Apr-11,284.9,27-Apr-11,279,281.8,30,11600.00,3266900.00,27-Apr-11,1
4/28/2011,28-Apr-11,284,28-Apr-11,282,282.8,33,41500.00,11710570.00,28-Apr-11,1
4/29/2011,29-Apr-11,287,29-Apr-11,281,281.8,69,35200.00,9953460.00,29-Apr-11,1
5/3/2011,3-May-11,281,3-May-11,278,278.3,56,51200.00,14279210.00,3-May-11,1
5/4/2011,4-May-11,278,4-May-11,272.6,275.1,41,21600.00,5944400.00,4-May-11,1
5/5/2011,5-May-11,278,5-May-11,275,275.5,54,134900.00,37154980.00,5-May-11,1
5/6/2011,6-May-11,279,6-May-11,275,276.7,38,417884.00,115759308.00,6-May-11,1
5/9/2011,9-May-11,276.2,9-May-11,274,275,47,80900.00,22250250.00,9-May-11,1
5/10/2011,10-May-11,276.7,10-May-11,274,275.2,36,36900.00,10153310.00,10-May-11,1
5/11/2011,11-May-11,274.1,11-May-11,272,272.8,42,69800.00,19044530.00,11-May-11,1
5/12/2011,12-May-11,274,12-May-11,270.6,273,40,161200.00,44007930.00,12-May-11,1
5/13/2011,13-May-11,275.1,13-May-11,271.5,272.3,34,17700.00,4851960.00,13-May-11,1
5/16/2011,16-May-11,275,16-May-11,272,274.2,15,6100.00,1664310.00,16-May-11,1
5/19/2011,19-May-11,278,19-May-11,272,277,33,11900.00,3261270.00,19-May-11,1
5/20/2011,20-May-11,288,20-May-11,275,281,49,37100.00,10425940.00,20-May-11,1
5/23/2011,23-May-11,286.7,23-May-11,276.1,276.2,20,4600.00,1276170.00,23-May-11,1
5/24/2011,24-May-11,278,24-May-11,273.5,275.1,29,23800.00,6581090.00,24-May-11,1
5/25/2011,25-May-11,275.1,25-May-11,272.5,274.5,51,51500.00,14110350.00,25-May-11,1
5/26/2011,26-May-11,275,26-May-11,270,270.4,54,87900.00,23814090.00,26-May-11,1
5/27/2011,27-May-11,274,27-May-11,271,272.8,15,16500.00,4495810.00,27-May-11,1
5/30/2011,30-May-11,272.8,30-May-11,270,270,59,36800.00,9944620.00,30-May-11,1
5/31/2011,31-May-11,272,31-May-11,270,270,43,64100.00,17340640.00,31-May-11,1
6/1/2011,1-Jun-11,271,1-Jun-11,270,270,40,34800.00,9400670.00,1-Jun-11,1
6/2/2011,2-Jun-11,272.5,2-Jun-11,270,270,29,18000.00,4863090.00,2-Jun-11,1
6/3/2011,3-Jun-11,271.3,3-Jun-11,269,270.1,31,34800.00,9391980.00,3-Jun-11,1
6/6/2011,6-Jun-11,272,6-Jun-11,269.9,271,24,23300.00,6295010.00,6-Jun-11,1
